"","b1","b2","b3","b4","b5","b6.1","b6.2","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24.1","b24.2","b25","b26","b27","b28","b29","b30","b31","b32"
"68",0,0,0,0,1,0,0,2,1,3,1,1,1,0,1,0,2,2,1,1,2,1,1,1,1,1,0,0,1,2,2,1,1,0
"69",2,0,1,1,1,0,1,3,1,0,1,1,1,1,1,1,1,2,1,0,2,0,1,0,1,1,1,1,1,2,0,1,1,1
"70",1,1,1,1,1,0,2,4,1,3,2,1,1,1,1,1,2,2,1,1,2,0,1,1,1,1,1,1,1,4,1,1,1,0
"71",1,1,1,1,0,1,2,1,1,0,0,0,1,0,1,1,2,2,1,1,2,1,1,1,0,0,1,1,1,2,1,1,1,0
"72",2,0,1,1,0,0,2,4,1,0,0,1,1,1,1,1,2,2,1,0,2,0,1,0,1,0,1,1,1,3,2,1,1,0
"73",1,1,0,1,0,0,1,2,0,3,1,1,0,1,0,1,2,2,1,1,2,1,0,0,0,0,0,0,1,2,1,1,1,0
"74",0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"75",1,1,0,0,1,1,1,2,1,3,0,1,1,1,1,0,2,2,0,0,1,1,0,0,0,0,0,1,1,2,1,0,1,0
"76",0,1,0,1,1,0,1,1,1,3,0,0,0,1,1,0,1,2,0,0,0,1,1,0,1,0,1,0,1,0,3,1,1,0
"77",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"78",2,1,1,1,1,1,2,2,1,3,2,1,1,1,1,0,2,2,1,1,2,1,1,1,0,1,1,1,1,3,3,1,0,0
"79",1,0,0,1,0,0,0,2,0,3,0,1,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
"80",2,1,1,0,0,1,2,2,1,3,0,1,1,1,0,1,2,2,1,1,2,1,0,1,1,1,1,1,1,2,3,1,1,0
"81",2,1,1,1,1,0,2,2,1,3,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,3,2,0,0,0
"82",1,0,0,1,1,0,0,1,1,3,0,1,0,1,1,0,2,2,0,0,1,1,0,1,0,0,0,0,1,0,2,1,1,1
"83",0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
"84",0,1,1,0,0,1,2,4,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,0,0,1,1,1,4,3,1,1,0
"85",1,0,0,0,0,0,2,1,1,3,0,1,1,0,1,1,2,2,0,1,1,1,0,1,0,0,1,1,1,0,3,1,1,0
"86",1,1,1,0,0,0,1,3,1,3,0,1,1,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,2,0,1,0
"87",2,1,1,1,1,1,2,2,1,0,1,1,0,0,1,0,2,2,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0
"88",2,1,1,1,1,1,2,4,1,3,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1
"89",0,1,1,1,1,1,2,4,1,3,2,1,1,1,1,1,2,2,1,1,1,1,0,0,1,1,1,1,1,4,3,1,1,1
"90",2,1,0,1,0,0,1,4,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,1,0,0,0
"91",1,1,1,1,1,1,2,4,1,3,2,1,1,1,1,1,2,2,1,1,2,1,1,1,0,0,1,1,1,3,2,1,1,1
"92",1,1,0,0,1,1,2,4,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1
"93",1,1,1,0,0,0,1,1,1,3,0,1,1,0,1,1,1,2,0,1,0,1,1,1,0,0,1,1,1,0,2,1,1,0
"94",2,1,0,1,0,0,0,3,0,3,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,2,1,1,0,0
"95",1,1,0,0,1,0,0,3,1,3,1,1,1,1,1,1,2,0,1,0,2,1,0,0,0,0,1,0,1,1,3,1,1,1
"96",1,1,1,1,1,1,2,4,1,3,0,1,1,0,1,1,2,2,0,1,2,1,1,0,1,1,1,1,1,3,3,1,1,1
"97",0,0,1,1,0,0,2,3,1,3,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3,1,1,0,0
"98",2,1,1,1,0,0,2,4,1,3,0,1,1,1,0,1,2,2,0,1,2,1,0,1,0,0,1,1,1,2,2,1,1,0
"99",1,1,1,0,0,1,2,2,1,3,1,1,1,1,0,1,2,2,0,1,2,0,0,1,1,1,1,1,1,3,2,1,1,1
"100",2,1,1,1,1,0,2,4,1,3,2,1,1,1,0,1,2,2,1,1,1,1,1,1,0,1,1,1,1,3,3,1,1,1
"101",0,1,0,1,1,0,0,4,1,3,1,0,1,1,0,0,2,2,1,1,2,1,1,1,1,1,1,1,1,4,3,1,1,0
"102",2,1,0,1,1,1,2,4,1,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,1,0
"103",2,1,0,1,0,0,2,1,1,3,1,1,1,0,1,0,2,2,1,0,2,0,0,0,0,0,1,1,1,3,2,1,1,0
"104",0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,2,1,1,0,0,0,0,1,1,0,0,1,0,0
"105",2,1,0,1,1,0,2,4,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,0,1,1,1,1,2,2,1,1,1
"106",2,0,1,1,1,0,2,2,0,3,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1
